Evaluation Results
==================================================
Model: best_model_epoch78.pth
Test File: 2024-07-07_2024-07-07_17-15-00
Evaluation Date: 2025-07-10 16:53:18

System Information:
--------------------
os: Windows
os_version: 10.0.26100
architecture: 64bit
machine: AMD64
processor: Intel64 Family 6 Model 170 Stepping 4, GenuineIntel
gpu: NVIDIA GeForce RTX 4090 Laptop GPU (CUDA 12.6)
gpu_name: NVIDIA GeForce RTX 4090 Laptop GPU
python_version: 3.13.1
cpu_count: 22
cpu_count_logical: 22
memory_total_gb: 31.52
memory_available_gb: 17.39
memory_percent: 44.8
cuda_available: True
cuda_device_count: 1
cuda_version: 12.6
current_device: cuda

Performance Timing:
--------------------
Data loading time: 0.180 seconds
Model loading time: 0.268 seconds
Total inference time: 91.756 seconds
Average inference time per frame: 0.0261 seconds
Min inference time: 0.0169 seconds
Max inference time: 0.1031 seconds
Total evaluation time: 98.396 seconds
Frames processed: 3520

Frame-by-Frame Results:
------------------------------
Frame 117: ADE=4.13, FDE=5.48, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0234s
Frame 118: ADE=4.33, FDE=4.78, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0237s
Frame 119: ADE=4.26, FDE=3.92, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0256s
Frame 120: ADE=3.99, FDE=2.37, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0234s
Frame 121: ADE=6.70, FDE=7.61, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0223s
Frame 122: ADE=7.54, FDE=9.61, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0236s
Frame 123: ADE=7.28, FDE=9.63, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0233s
Frame 124: ADE=6.90, FDE=9.84, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0225s
Frame 125: ADE=6.20, FDE=8.87, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0217s
Frame 126: ADE=5.58, FDE=8.66, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0229s
Frame 127: ADE=5.08, FDE=7.77, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0238s
Frame 128: ADE=4.21, FDE=7.48, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0231s
Frame 129: ADE=3.71, FDE=7.58, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0231s
Frame 130: ADE=3.63, FDE=7.92, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0261s
Frame 131: ADE=5.20, FDE=9.20, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0238s
Frame 132: ADE=5.73, FDE=9.53, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0259s
Frame 133: ADE=4.93, FDE=8.49, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0260s
Frame 134: ADE=4.52, FDE=7.42, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0271s
Frame 135: ADE=4.74, FDE=7.73, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0308s
Frame 136: ADE=4.15, FDE=7.23, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0257s
Frame 137: ADE=4.58, FDE=7.60, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0246s
Frame 138: ADE=3.34, FDE=5.91, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0272s
Frame 139: ADE=4.56, FDE=7.26, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0283s
Frame 140: ADE=4.37, FDE=7.15, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0270s
Frame 141: ADE=4.18, FDE=7.65, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0292s
Frame 142: ADE=3.94, FDE=7.46, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0297s
Frame 143: ADE=3.63, FDE=6.60, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0268s
Frame 144: ADE=3.52, FDE=5.77, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0248s
Frame 145: ADE=4.10, FDE=7.08, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0275s
Frame 146: ADE=4.45, FDE=7.39, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0260s
Frame 147: ADE=4.45, FDE=7.39, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0256s
Frame 148: ADE=4.11, FDE=6.25, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0262s
Frame 149: ADE=3.99, FDE=6.15, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0263s
Frame 150: ADE=3.73, FDE=5.91, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0268s
Frame 151: ADE=3.71, FDE=5.93, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0251s
Frame 152: ADE=3.64, FDE=5.91, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0273s
Frame 153: ADE=3.41, FDE=5.79, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0245s
Frame 154: ADE=3.20, FDE=5.73, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0239s
Frame 155: ADE=3.21, FDE=5.74, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0236s
Frame 156: ADE=3.22, FDE=5.69, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0273s
Frame 157: ADE=2.68, FDE=5.22, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0268s
Frame 158: ADE=2.48, FDE=5.16, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0272s
Frame 159: ADE=2.38, FDE=5.06, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0247s
Frame 160: ADE=2.79, FDE=5.39, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0256s
Frame 161: ADE=2.81, FDE=5.35, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0254s
Frame 162: ADE=2.79, FDE=5.39, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0249s
Frame 163: ADE=2.72, FDE=5.33, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0258s
Frame 164: ADE=2.74, FDE=5.37, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0264s
Frame 165: ADE=2.72, FDE=5.35, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0249s
Frame 166: ADE=2.65, FDE=5.26, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0257s
Frame 167: ADE=2.59, FDE=5.16, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0262s
Frame 168: ADE=2.70, FDE=5.31, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0254s
Frame 169: ADE=2.69, FDE=5.31, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0259s
Frame 170: ADE=2.65, FDE=5.26, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0245s
Frame 171: ADE=2.54, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0258s
Frame 172: ADE=2.54, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0267s
Frame 173: ADE=2.54, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0274s
Frame 174: ADE=2.54, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0283s
Frame 175: ADE=2.54, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0279s
Frame 176: ADE=2.54, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0294s
Frame 177: ADE=2.62, FDE=6.05, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0296s
Frame 178: ADE=2.77, FDE=6.94, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0285s
Frame 179: ADE=2.93, FDE=7.00, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0253s
Frame 180: ADE=2.94, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0274s
Frame 181: ADE=2.93, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0294s
Frame 182: ADE=2.93, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0245s
Frame 183: ADE=2.94, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0250s
Frame 184: ADE=3.02, FDE=6.05, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0231s
Frame 185: ADE=3.01, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0229s
Frame 186: ADE=2.99, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0206s
Frame 187: ADE=3.02, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0264s
Frame 188: ADE=2.98, FDE=5.11, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0244s
Frame 189: ADE=2.56, FDE=4.77, Acc_2px=0.000, Acc_5px=1.000, Inference time: 0.0242s
